mode,cycles,mean_error,max_error,pair_rms,triad_rms,viable,mid,ultra,singular,deep,very_deep,ultra_deep,access,spread,rollbacks,waste,reopen_events,phase_switches,runtime,seed,trial
topology_only,650,0.005608844735962611,0.006716394316162104,0.0012987921102519597,0.0019240932100002793,8,8,8,8,8,2,0,0.6436034243212281,0.08577407077524841,0,0.0,515,119,0.27131419999932405,20360635,27
topology_only,650,0.00578468254354182,0.007025972505384386,0.0022007390422707006,0.0028241370928559816,8,8,8,8,8,1,0,0.6458107654045908,0.08749355308740873,0,0.0,460,171,0.33582989999558777,20360636,28
topology_only,650,0.0055627897601693635,0.0066130851931928,0.0018129566625149421,0.0022703810895636075,8,8,8,8,8,3,0,0.6454261532495111,0.08693987459341168,0,0.0,458,147,0.28714210000180174,20360637,29
topology_only,650,0.005451342543437283,0.006856586614804414,0.0019940503186988874,0.0024995916551836424,8,8,8,8,8,2,0,0.6455270488091631,0.08569909005099384,0,0.0,238,187,0.2729107000050135,20360638,30
topology_only,650,0.0056655494811730005,0.006537435929754595,0.0022788144020970823,0.003277595938492521,8,8,8,8,8,2,0,0.6442047523294288,0.08599116838516312,0,0.0,396,179,0.30533100001048297,20360639,31
topology_only,650,0.0053657201518300095,0.005973983292363525,0.0024331955655761284,0.0019352340141167235,8,8,8,8,8,3,0,0.6448386923860906,0.0878448521675847,0,0.0,243,161,0.2943185000040103,20360640,32
topology_only,650,0.006238764220595057,0.007848772848083807,0.0012995804801868498,0.0010712827680568672,8,8,8,8,8,1,0,0.642588820722714,0.08630671575435557,0,0.0,419,142,0.31576589999895077,20360641,33
topology_only,650,0.0055909891428194795,0.005990900578158175,0.0012202344466559379,0.0032748974285215495,8,8,8,8,8,2,0,0.6454920166122831,0.08662919106685639,0,0.0,476,171,0.27697120000084396,20360642,34
topology_only,650,0.005666387643944416,0.008414422047025359,0.00209520980622503,0.003222188304013387,8,8,8,8,8,4,0,0.641502826534911,0.08566719756524761,0,0.0,324,104,0.24374859999807086,20360643,35
topology_only,650,0.005509078057903315,0.006217129069803798,0.0021641029261744646,0.002134828204112719,8,8,8,8,8,3,0,0.6439093087198592,0.08606231208787489,0,0.0,382,165,0.2746569000009913,20360644,36
topology_only,650,0.00580233787161938,0.00598984568339771,0.0021370465425255823,0.0015302288424035167,8,8,8,8,8,0,0,0.6456219339118312,0.08711164037541637,0,0.0,491,149,0.2454456000123173,20360645,37
topology_only,650,0.005417831252128532,0.007074095491500588,0.002216315085527027,0.0031773705201646064,8,8,8,8,8,3,0,0.6449312548340101,0.08660322427440796,0,0.0,332,157,0.3120007999968948,20360646,38
topology_only,650,0.005759218993678573,0.006175911030743212,0.001723259720243982,0.0013785675779229463,8,8,8,8,8,1,0,0.6439176580124282,0.08709829089294241,0,0.0,334,158,0.24009609999484383,20360647,39
topology_only,650,0.005716082615910327,0.007229250668556594,0.0016354452043613283,0.0013879651886816613,8,8,8,8,8,1,0,0.6459178533190657,0.08728672696258255,0,0.0,513,129,0.2674974999972619,20360648,40
topology_only,650,0.005350045049215307,0.005935308554555224,0.0022970126825079397,0.00224333463960627,8,8,8,8,8,3,0,0.6443489987623519,0.08690569319712342,0,0.0,447,115,0.251632100000279,20360649,41
topology_only,650,0.0058114083114062815,0.006401050048947488,0.0013565477441659756,0.0032521278256340117,8,8,8,8,8,0,0,0.6458460407697685,0.08818382353776551,0,0.0,692,116,0.2714787000004435,20360650,42
topology_only,650,0.005377303004085836,0.005977821657725302,0.001558580189314047,0.0034539303646464073,8,8,8,8,8,2,0,0.6442219081233378,0.08638264385542592,0,0.0,409,163,0.23731620000035036,20360651,43
topology_only,650,0.005755738261870319,0.007207927468010112,0.001741863747648437,0.002720233168613043,8,8,8,8,8,2,0,0.6480967103773079,0.08756613252960505,0,0.0,372,177,0.2554181999876164,20360652,44
topology_only,650,0.005549834401498381,0.0063613040357212965,0.0020468608475102796,0.0019563928018671572,8,8,8,8,8,2,0,0.6442699099836887,0.08642446104180289,0,0.0,420,130,0.25290780000796076,20360653,45
topology_only,650,0.005562165180720292,0.006390442922887209,0.0023649165058339545,0.002394929442874642,8,8,8,8,8,1,0,0.6441299278496775,0.08579451289905332,0,0.0,322,197,0.26962589999311604,20360654,46
topology_only,650,0.005361107719309782,0.007632322599298412,0.0017523474932009324,0.003090251503793241,8,8,8,8,8,4,0,0.6418355166106823,0.08588861832331063,0,0.0,272,161,0.24087720000534318,20360655,47
topology_only,650,0.005740554135688484,0.007979975910207434,0.002365108244193713,0.00110692936971973,8,8,8,8,8,3,0,0.644789201377449,0.08634004224132698,0,0.0,353,189,0.2869712000101572,20360656,48
topology_only,650,0.005473194950039393,0.006665555788253849,0.002251810494658473,0.00307778956127094,8,8,8,8,8,3,0,0.6446214031503278,0.08639493422336984,0,0.0,320,207,0.254748399995151,20360657,49
topology_only,650,0.0063280190673068466,0.01059251501572185,0.0012039922195998917,0.0013481258307496428,8,8,8,8,7,0,0,0.646088521999324,0.08704102219566577,0,0.0,354,148,0.3110633000032976,20360658,50
hybrid,650,0.005190278791146145,0.005974961741009568,0.002354559009936085,0.0022130339088220507,8,8,8,8,8,4,0,0.642650511947882,0.08624776355682395,0,0.0,215,195,0.2516812999965623,20460609,1
hybrid,650,0.005719173687073817,0.00725700011531221,0.0014101550545219186,0.0011231269752944167,8,8,8,8,8,1,0,0.6445990517074729,0.08584703863515113,0,0.0,306,174,0.25540080000064336,20460610,2
hybrid,650,0.005350986834646918,0.006033777776624872,0.002696643433856692,0.002424850607475138,8,8,8,8,8,3,0,0.6453695792005036,0.08650182104251163,0,0.0,305,159,0.257062999997288,20460611,3
hybrid,650,0.005485051051440177,0.005998960778815662,0.002844029166472712,0.0019515146351432166,8,8,8,8,8,3,0,0.6452186076332767,0.08631252133659834,0,0.0,269,125,0.27127749999635853,20460612,4
hybrid,650,0.0057184009370251825,0.0076048291935254374,0.0028393632626615766,0.0025719944597505573,8,8,8,8,8,3,0,0.6444261622799601,0.08622893635870675,0,0.0,394,152,0.2547118000074988,20460613,5
hybrid,650,0.005567196928641303,0.008029410559193614,0.0028363001630816527,0.001926844439595655,8,8,8,8,8,4,0,0.6446667563514028,0.08772379860131686,0,0.0,226,181,0.2509927999926731,20460614,6
